id,user_id,total_amount,status,order_date
1,1,28500.00,delivered,"2024-01-05 10:00:00"
2,1,3500.00,delivered,"2024-01-20 11:00:00"
3,2,75000.00,shipped,"2024-02-03 09:30:00"
4,2,2000.00,delivered,"2024-02-15 14:00:00"
5,3,25000.00,delivered,"2024-02-20 16:00:00"
6,3,1800.00,processing,"2024-03-01 10:30:00"
7,4,8000.00,delivered,"2024-03-10 12:00:00"
8,4,3200.00,cancelled,"2024-03-15 09:00:00"
9,5,4400.00,delivered,"2024-03-22 15:00:00"
10,5,1350.00,pending,"2024-04-01 08:00:00"
11,6,11200.00,delivered,"2024-04-05 11:00:00"
12,6,2100.00,shipped,"2024-04-10 13:00:00"
13,7,5700.00,delivered,"2024-04-18 10:00:00"
14,7,1500.00,delivered,"2024-04-25 09:30:00"
15,8,9500.00,delivered,"2024-05-02 14:00:00"
16,8,2700.00,processing,"2024-05-10 11:30:00"
17,9,33500.00,delivered,"2024-05-15 16:00:00"
18,9,4500.00,shipped,"2024-05-20 10:00:00"
19,10,7200.00,delivered,"2024-05-25 12:00:00"
20,10,1050.00,pending,"2024-06-01 09:00:00"
21,11,18000.00,delivered,"2024-07-03 09:00:00"
22,12,4500.00,delivered,"2024-07-08 11:30:00"
23,13,26200.00,delivered,"2024-07-15 14:00:00"
24,14,2500.00,delivered,"2024-07-20 10:00:00"
25,15,3600.00,cancelled,"2024-07-25 09:00:00"
26,16,75000.00,delivered,"2024-08-01 08:30:00"
27,17,1950.00,delivered,"2024-08-05 13:00:00"
28,18,12000.00,delivered,"2024-08-12 15:00:00"
29,19,4400.00,delivered,"2024-08-20 11:00:00"
30,20,1200.00,delivered,"2024-08-28 09:30:00"
31,1,18000.00,delivered,"2024-09-02 10:00:00"
32,2,4500.00,delivered,"2024-09-10 14:00:00"
33,3,2200.00,shipped,"2024-09-15 09:00:00"
34,4,1800.00,delivered,"2024-09-20 11:30:00"
35,5,25000.00,delivered,"2024-09-25 16:00:00"
36,6,75000.00,delivered,"2024-10-01 10:00:00"
37,7,5350.00,delivered,"2024-10-05 09:30:00"
38,8,8000.00,delivered,"2024-10-10 13:00:00"
39,9,4500.00,delivered,"2024-10-15 11:00:00"
40,10,12000.00,delivered,"2024-10-20 14:00:00"
41,11,3000.00,delivered,"2024-10-25 10:30:00"
42,12,26000.00,delivered,"2024-11-01 09:00:00"
43,13,1800.00,delivered,"2024-11-05 11:00:00"
44,14,4500.00,delivered,"2024-11-10 14:30:00"
45,15,75000.00,delivered,"2024-11-15 10:00:00"
46,16,2500.00,delivered,"2024-11-20 09:00:00"
47,17,8000.00,delivered,"2024-11-25 13:00:00"
48,18,1200.00,delivered,"2024-12-01 11:00:00"
49,19,18000.00,delivered,"2024-12-05 10:00:00"
50,20,3600.00,cancelled,"2024-12-10 09:30:00"
51,21,25000.00,delivered,"2024-12-12 14:00:00"
52,22,4500.00,delivered,"2024-12-15 11:00:00"
53,23,12000.00,delivered,"2024-12-18 10:00:00"
54,24,2200.00,delivered,"2024-12-22 09:00:00"
55,25,4500.00,delivered,"2024-12-26 13:00:00"
56,1,8000.00,delivered,"2025-01-03 10:00:00"
57,2,1200.00,delivered,"2025-01-08 11:30:00"
58,3,18000.00,delivered,"2025-01-15 09:00:00"
59,4,4500.00,delivered,"2025-01-20 14:00:00"
60,5,3000.00,delivered,"2025-01-25 10:30:00"
61,11,75000.00,delivered,"2025-02-01 09:00:00"
62,12,2500.00,processing,"2025-02-08 11:00:00"
63,13,25000.00,delivered,"2025-02-14 14:00:00"
64,14,1800.00,delivered,"2025-02-20 10:00:00"
65,15,12000.00,cancelled,"2025-02-25 09:30:00"
66,6,4500.00,delivered,"2025-03-01 11:00:00"
67,7,2200.00,delivered,"2025-03-07 14:30:00"
68,8,8000.00,delivered,"2025-03-12 10:00:00"
69,9,1200.00,delivered,"2025-03-18 09:00:00"
70,10,18000.00,delivered,"2025-03-25 13:00:00"
71,16,75000.00,delivered,"2025-04-02 10:00:00"
72,17,3600.00,delivered,"2025-04-08 11:00:00"
73,18,4500.00,delivered,"2025-04-15 14:00:00"
74,19,12000.00,shipped,"2025-04-22 09:30:00"
75,20,2200.00,delivered,"2025-04-28 11:00:00"
76,21,75000.00,delivered,"2025-05-03 10:00:00"
77,22,1950.00,delivered,"2025-05-10 14:00:00"
