id,order_id,amount,method,status,payment_date
1,1,28500.00,mobile_banking,completed,"2026-05-21 22:37:55"
2,2,3500.00,credit_card,completed,"2026-05-21 22:37:55"
3,3,75000.00,credit_card,completed,"2026-05-21 22:37:55"
4,4,2000.00,cash_on_delivery,completed,"2026-05-21 22:37:55"
5,5,25000.00,debit_card,completed,"2026-05-21 22:37:55"
6,6,1800.00,mobile_banking,pending,"2026-05-21 22:37:55"
7,7,8000.00,credit_card,completed,"2026-05-21 22:37:55"
8,8,3200.00,cash_on_delivery,refunded,"2026-05-21 22:37:55"
9,9,4400.00,mobile_banking,completed,"2026-05-21 22:37:55"
10,10,1350.00,mobile_banking,pending,"2026-05-21 22:37:55"
11,11,11200.00,credit_card,completed,"2026-05-21 22:37:55"
12,12,2100.00,debit_card,completed,"2026-05-21 22:37:55"
13,13,5700.00,mobile_banking,completed,"2026-05-21 22:37:55"
14,14,1500.00,cash_on_delivery,completed,"2026-05-21 22:37:55"
15,15,9500.00,credit_card,completed,"2026-05-21 22:37:55"
16,16,2700.00,mobile_banking,pending,"2026-05-21 22:37:55"
17,17,33500.00,credit_card,completed,"2026-05-21 22:37:55"
18,18,4500.00,debit_card,completed,"2026-05-21 22:37:55"
19,19,7200.00,mobile_banking,completed,"2026-05-21 22:37:55"
20,20,1050.00,cash_on_delivery,pending,"2026-05-21 22:37:55"
21,21,18000.00,mobile_banking,completed,"2026-05-21 22:39:01"
22,22,4500.00,credit_card,completed,"2026-05-21 22:39:01"
23,23,26200.00,debit_card,completed,"2026-05-21 22:39:01"
24,24,2500.00,cash_on_delivery,completed,"2026-05-21 22:39:01"
25,25,3600.00,mobile_banking,refunded,"2026-05-21 22:39:01"
26,26,75000.00,credit_card,completed,"2026-05-21 22:39:01"
27,27,1950.00,mobile_banking,completed,"2026-05-21 22:39:01"
28,28,12000.00,debit_card,completed,"2026-05-21 22:39:01"
29,29,4400.00,mobile_banking,completed,"2026-05-21 22:39:01"
30,30,1200.00,cash_on_delivery,completed,"2026-05-21 22:39:01"
31,31,18000.00,credit_card,completed,"2026-05-21 22:39:01"
32,32,4500.00,mobile_banking,completed,"2026-05-21 22:39:01"
33,33,2200.00,debit_card,completed,"2026-05-21 22:39:01"
34,34,1800.00,cash_on_delivery,completed,"2026-05-21 22:39:01"
35,35,25000.00,credit_card,completed,"2026-05-21 22:39:01"
36,36,33500.00,credit_card,completed,"2026-05-21 22:39:01"
37,37,5700.00,mobile_banking,completed,"2026-05-21 22:39:01"
38,38,8000.00,debit_card,completed,"2026-05-21 22:39:01"
39,39,4500.00,credit_card,completed,"2026-05-21 22:39:01"
40,40,12000.00,mobile_banking,completed,"2026-05-21 22:39:01"
41,41,3000.00,cash_on_delivery,completed,"2026-05-21 22:39:01"
42,42,26200.00,credit_card,completed,"2026-05-21 22:39:01"
43,43,1800.00,mobile_banking,completed,"2026-05-21 22:39:01"
44,44,4500.00,debit_card,completed,"2026-05-21 22:39:01"
45,45,75000.00,credit_card,completed,"2026-05-21 22:39:01"
46,46,2500.00,cash_on_delivery,completed,"2026-05-21 22:39:01"
47,47,8000.00,mobile_banking,completed,"2026-05-21 22:39:01"
48,48,1200.00,mobile_banking,completed,"2026-05-21 22:39:01"
49,49,18000.00,credit_card,completed,"2026-05-21 22:39:01"
50,50,3600.00,mobile_banking,refunded,"2026-05-21 22:39:01"
51,51,25000.00,debit_card,completed,"2026-05-21 22:39:01"
52,52,4500.00,credit_card,completed,"2026-05-21 22:39:01"
53,53,12000.00,mobile_banking,completed,"2026-05-21 22:39:01"
54,54,2200.00,cash_on_delivery,completed,"2026-05-21 22:39:01"
55,55,1950.00,mobile_banking,completed,"2026-05-21 22:39:01"
56,56,8000.00,credit_card,completed,"2026-05-21 22:39:01"
57,57,1200.00,mobile_banking,completed,"2026-05-21 22:39:01"
58,58,18000.00,debit_card,completed,"2026-05-21 22:39:01"
59,59,4500.00,credit_card,completed,"2026-05-21 22:39:01"
60,60,3000.00,cash_on_delivery,completed,"2026-05-21 22:39:01"
61,61,75000.00,credit_card,completed,"2026-05-21 22:39:01"
62,62,2500.00,mobile_banking,pending,"2026-05-21 22:39:01"
63,63,25000.00,debit_card,completed,"2026-05-21 22:39:01"
64,64,1800.00,mobile_banking,completed,"2026-05-21 22:39:01"
65,65,12000.00,mobile_banking,refunded,"2026-05-21 22:39:01"
66,66,4500.00,credit_card,completed,"2026-05-21 22:39:01"
67,67,2200.00,cash_on_delivery,completed,"2026-05-21 22:39:01"
68,68,8000.00,mobile_banking,completed,"2026-05-21 22:39:01"
69,69,1200.00,debit_card,completed,"2026-05-21 22:39:01"
70,70,18000.00,credit_card,completed,"2026-05-21 22:39:01"
71,71,33500.00,credit_card,completed,"2026-05-21 22:39:01"
72,72,3600.00,mobile_banking,completed,"2026-05-21 22:39:01"
73,73,4500.00,debit_card,completed,"2026-05-21 22:39:01"
74,74,12000.00,credit_card,completed,"2026-05-21 22:39:01"
75,75,2200.00,mobile_banking,pending,"2026-05-21 22:39:01"
76,76,75000.00,credit_card,completed,"2026-05-21 22:39:01"
77,77,1950.00,mobile_banking,completed,"2026-05-21 22:39:01"
78,78,8000.00,debit_card,completed,"2026-05-21 22:39:01"
79,79,25000.00,credit_card,completed,"2026-05-21 22:39:01"
80,80,4500.00,mobile_banking,completed,"2026-05-21 22:39:01"
81,81,3000.00,cash_on_delivery,completed,"2026-05-21 22:39:01"
82,82,18000.00,credit_card,completed,"2026-05-21 22:39:01"
83,83,1200.00,mobile_banking,completed,"2026-05-21 22:39:01"
84,84,12000.00,debit_card,completed,"2026-05-21 22:39:01"
85,85,2500.00,mobile_banking,refunded,"2026-05-21 22:39:01"
86,86,4500.00,credit_card,completed,"2026-05-21 22:39:01"
87,87,33500.00,mobile_banking,completed,"2026-05-21 22:39:01"
88,88,8000.00,debit_card,completed,"2026-05-21 22:39:01"
89,89,2200.00,cash_on_delivery,completed,"2026-05-21 22:39:01"
90,90,18000.00,credit_card,completed,"2026-05-21 22:39:01"
91,91,1200.00,mobile_banking,completed,"2026-05-21 22:39:01"
92,92,25000.00,credit_card,completed,"2026-05-21 22:39:01"
93,93,1950.00,mobile_banking,completed,"2026-05-21 22:39:01"
94,94,12000.00,debit_card,completed,"2026-05-21 22:39:01"
95,95,3600.00,mobile_banking,completed,"2026-05-21 22:39:01"
96,96,75000.00,credit_card,completed,"2026-05-21 22:39:01"
97,97,2500.00,cash_on_delivery,completed,"2026-05-21 22:39:01"
98,98,18000.00,mobile_banking,completed,"2026-05-21 22:39:01"
99,99,8000.00,credit_card,completed,"2026-05-21 22:39:01"
100,100,33500.00,debit_card,completed,"2026-05-21 22:39:01"
101,101,4500.00,mobile_banking,completed,"2026-05-21 22:39:01"
102,102,25000.00,credit_card,completed,"2026-05-21 22:39:01"
103,103,1950.00,cash_on_delivery,completed,"2026-05-21 22:39:01"
104,104,12000.00,mobile_banking,completed,"2026-05-21 22:39:01"
105,105,2200.00,debit_card,completed,"2026-05-21 22:39:01"
106,106,18000.00,credit_card,completed,"2026-05-21 22:39:01"
107,107,4500.00,mobile_banking,completed,"2026-05-21 22:39:01"
108,108,8000.00,debit_card,completed,"2026-05-21 22:39:01"
109,109,3000.00,cash_on_delivery,completed,"2026-05-21 22:39:01"
110,110,1200.00,mobile_banking,completed,"2026-05-21 22:39:01"
